T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 18 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.866667 	 acc_minus 	 0.800000 	 acc_0 	 0.997740 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 11 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.727273 	 acc_minus 	 0.900000 	 acc_0 	 0.998925 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 15 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.760000 	 acc_minus 	 0.750000 	 acc_0 	 0.998895 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 12 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.800000 	 acc_minus 	 0.766667 	 acc_0 	 0.996757 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 7 	 2 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.485714 	 acc_minus 	 0.600000 	 acc_0 	 0.999476 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 10 	 2 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.710000 	 acc_minus 	 1.000000 	 acc_0 	 0.995745 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 20 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.680000 	 acc_minus 	 0.500000 	 acc_0 	 0.997143 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 29 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.962069 	 acc_minus 	 0.900000 	 acc_0 	 0.993902 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 32 	 8 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.912500 	 acc_minus 	 0.800000 	 acc_0 	 0.996250 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 28 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.964286 	 acc_minus 	 0.928571 	 acc_0 	 0.993333 	
